Observed and simulated streamflows (m^3/s)
Station,,,,05MK010 ,
Longitude,,,,-104.500,
Latitude,,,,  53.971,
Xcoord_grid,,,,       4,
Ycoord_grid,,,,       2,
YEAR,MONTH,DAY,HOUR,OBS,SIM
 2004,    6,    1,    2,     0.100,     0.000,
 2004,    6,    1,    3,     0.100,     0.000,
 2004,    6,    1,    4,     0.100,     0.000,
 2004,    6,    1,    5,     0.100,     0.000,
 2004,    6,    1,    6,     0.100,     0.000,
 2004,    6,    1,    7,     0.100,     0.000,
 2004,    6,    1,    8,     0.100,     0.001,
 2004,    6,    1,    9,     0.100,     0.001,
 2004,    6,    1,   10,     0.100,     0.001,
 2004,    6,    1,   11,     0.100,     0.002,
 2004,    6,    1,   12,     0.100,     0.002,
 2004,    6,    1,   13,     0.100,     0.003,
 2004,    6,    1,   14,     0.100,     0.003,
 2004,    6,    1,   15,     0.100,     0.003,
 2004,    6,    1,   16,     0.100,     0.004,
 2004,    6,    1,   17,     0.100,     0.004,
 2004,    6,    1,   18,     0.100,     0.005,
 2004,    6,    1,   19,     0.100,     0.005,
 2004,    6,    1,   20,     0.100,     0.005,
 2004,    6,    1,   21,     0.100,     0.006,
 2004,    6,    1,   22,     0.100,     0.006,
 2004,    6,    1,   23,     0.100,     0.007,
 2004,    6,    1,   24,     0.100,     0.007,
 2004,    6,    2,    1,     0.100,     0.008,
 2004,    6,    2,    2,     0.100,     0.008,
 2004,    6,    2,    3,     0.100,     0.009,
 2004,    6,    2,    4,     0.100,     0.010,
 2004,    6,    2,    5,     0.100,     0.010,
 2004,    6,    2,    6,     0.100,     0.011,
 2004,    6,    2,    7,     0.100,     0.011,
 2004,    6,    2,    8,     0.100,     0.012,
 2004,    6,    2,    9,     0.100,     0.013,
 2004,    6,    2,   10,     0.100,     0.014,
 2004,    6,    2,   11,     0.100,     0.014,
 2004,    6,    2,   12,     0.100,     0.015,
 2004,    6,    2,   13,     0.100,     0.016,
 2004,    6,    2,   14,     0.100,     0.017,
 2004,    6,    2,   15,     0.100,     0.018,
 2004,    6,    2,   16,     0.100,     0.019,
 2004,    6,    2,   17,     0.100,     0.020,
 2004,    6,    2,   18,     0.100,     0.021,
 2004,    6,    2,   19,     0.100,     0.022,
 2004,    6,    2,   20,     0.100,     0.024,
 2004,    6,    2,   21,     0.100,     0.025,
 2004,    6,    2,   22,     0.100,     0.026,
 2004,    6,    2,   23,     0.100,     0.027,
 2004,    6,    2,   24,     0.100,     0.029,
 2004,    6,    3,    1,     0.100,     0.030,
 2004,    6,    3,    2,     0.100,     0.031,
 2004,    6,    3,    3,     0.100,     0.033,
 2004,    6,    3,    4,     0.100,     0.034,
 2004,    6,    3,    5,     0.100,     0.036,
 2004,    6,    3,    6,     0.100,     0.037,
 2004,    6,    3,    7,     0.100,     0.039,
 2004,    6,    3,    8,     0.100,     0.040,
 2004,    6,    3,    9,     0.100,     0.042,
 2004,    6,    3,   10,     0.100,     0.043,
 2004,    6,    3,   11,     0.100,     0.045,
 2004,    6,    3,   12,     0.100,     0.046,
 2004,    6,    3,   13,     0.100,     0.048,
 2004,    6,    3,   14,     0.100,     0.049,
 2004,    6,    3,   15,     0.100,     0.051,
 2004,    6,    3,   16,     0.100,     0.052,
 2004,    6,    3,   17,     0.100,     0.054,
 2004,    6,    3,   18,     0.100,     0.055,
 2004,    6,    3,   19,     0.100,     0.057,
 2004,    6,    3,   20,     0.100,     0.059,
 2004,    6,    3,   21,     0.100,     0.060,
 2004,    6,    3,   22,     0.100,     0.062,
 2004,    6,    3,   23,     0.100,     0.064,
 2004,    6,    3,   24,     0.100,     0.065,
 2004,    6,    4,    1,     0.100,     0.067,
 2004,    6,    4,    2,     0.100,     0.068,
 2004,    6,    4,    3,     0.100,     0.070,
 2004,    6,    4,    4,     0.100,     0.072,
 2004,    6,    4,    5,     0.100,     0.074,
 2004,    6,    4,    6,     0.100,     0.075,
 2004,    6,    4,    7,     0.100,     0.077,
 2004,    6,    4,    8,     0.100,     0.079,
 2004,    6,    4,    9,     0.100,     0.081,
 2004,    6,    4,   10,     0.100,     0.082,
 2004,    6,    4,   11,     0.100,     0.084,
 2004,    6,    4,   12,     0.100,     0.086,
 2004,    6,    4,   13,     0.100,     0.088,
 2004,    6,    4,   14,     0.100,     0.090,
 2004,    6,    4,   15,     0.100,     0.091,
 2004,    6,    4,   16,     0.100,     0.093,
 2004,    6,    4,   17,     0.100,     0.095,
 2004,    6,    4,   18,     0.100,     0.097,
 2004,    6,    4,   19,     0.100,     0.098,
 2004,    6,    4,   20,     0.100,     0.100,
 2004,    6,    4,   21,     0.100,     0.102,
 2004,    6,    4,   22,     0.100,     0.104,
 2004,    6,    4,   23,     0.100,     0.106,
 2004,    6,    4,   24,     0.100,     0.107,
 2004,    6,    5,    1,     0.100,     0.109,
 2004,    6,    5,    2,     0.100,     0.111,
 2004,    6,    5,    3,     0.100,     0.113,
 2004,    6,    5,    4,     0.100,     0.115,
 2004,    6,    5,    5,     0.100,     0.116,
 2004,    6,    5,    6,     0.100,     0.118,
 2004,    6,    5,    7,     0.100,     0.120,
 2004,    6,    5,    8,     0.100,     0.122,
 2004,    6,    5,    9,     0.100,     0.124,
 2004,    6,    5,   10,     0.100,     0.125,
 2004,    6,    5,   11,     0.100,     0.127,
 2004,    6,    5,   12,     0.100,     0.129,
 2004,    6,    5,   13,     0.100,     0.131,
 2004,    6,    5,   14,     0.100,     0.133,
 2004,    6,    5,   15,     0.100,     0.134,
 2004,    6,    5,   16,     0.100,     0.136,
 2004,    6,    5,   17,     0.100,     0.138,
 2004,    6,    5,   18,     0.100,     0.140,
 2004,    6,    5,   19,     0.100,     0.141,
 2004,    6,    5,   20,     0.100,     0.143,
 2004,    6,    5,   21,     0.100,     0.145,
 2004,    6,    5,   22,     0.100,     0.147,
 2004,    6,    5,   23,     0.100,     0.148,
 2004,    6,    5,   24,     0.100,     0.150,
 2004,    6,    6,    1,     0.100,     0.152,
 2004,    6,    6,    2,     0.100,     0.153,
 2004,    6,    6,    3,     0.100,     0.155,
